timestamp,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
1710498155199033,36912,2709128,36909,54419226,36905,54192445,36900,54173,36899,257226,36896,54204995,36894,39875000,36893,23233419,36892,82359000,36890,10875000,36916,2708857,36918,54174666,36920,54171337,36925,56107061,36928,977421446,36931,10875000,36933,83152762,36935,10875000,36939,10875000,36940,74700000
1710498155420787,36911,232346,36908,54188273,36905,54192445,36900,54173,36899,257226,36896,54204995,36894,39875000,36893,23233419,36892,82359000,36890,10875000,36916,2708857,36917,54176624,36919,54173144,36925,54435073,36928,977421446,36931,10875000,36933,83152762,36935,10875000,36939,10875000,36940,74700000
1710498155609596,36907,232349,36900,54173,36894,54208738,36892,74200000,36886,54221113,36883,57366083,36879,81345283,36876,10875000,36873,67716290,36872,10875000,36909,54187325,36917,11145903,36919,10875000,36921,29000000,36922,270903,36924,65041637,36929,10830000,36931,10875000,36932,81232177,36933,29000000
1710498155812349,36896,232349,36889,346716,36883,46491083,36880,8159000,36878,101800000,36876,34109993,36872,10875000,36871,10875000,36869,67721846,36868,10875000,36908,2709439,36915,270903,36916,1849889,36917,21750000,36920,977421446,36921,29000000,36924,10875000,36929,10830000,36931,10875000,36933,29000000
1710498155999485,36897,230900,36883,46491083,36880,10875000,36878,101800000,36876,34109993,36872,10875000,36871,10875000,36869,67721846,36868,10875000,36864,29000000,36907,54190262,36910,54186127,36913,270988,36916,29000000,36917,21750000,36924,10875000,36929,10830000,36931,10875000,36933,29000000,36934,27090359
1710498156198873,36896,230900,36895,230900,36891,54173,36885,361897,36883,46491083,36878,101800000,36877,54233425,36876,34109993,36872,10875000,36871,92238441,36906,1800098,36911,270988,36914,977421446,36916,83177674,36917,21750000,36924,10875000,36929,10830000,36930,77400000,36931,10875000,36933,29000000
1710498156398807,36895,2710357,36893,230900,36891,54267232,36885,361897,36883,46491083,36878,101800000,36877,54233425,36876,34109993,36872,10875000,36871,92238441,36907,54190417,36909,270988,36913,10875000,36914,977421446,36916,83177674,36917,21750000,36924,10875000,36929,10830000,36930,77400000,36931,10875000
1710498156629790,36892,230907,36883,46491083,36882,361927,36878,72800000,36876,23234993,36873,29000000,36872,10875000,36871,10875000,36868,10875000,36867,81372337,36906,1802825,36909,270995,36911,29000000,36913,10875000,36914,1031602106,36917,21750000,36923,81251627,36924,10875000,36929,37929536,36930,77400000
1710498156823487,36890,2710738,36889,230919,36888,54216872,36878,72800000,36876,23234993,36874,54238085,36872,10875000,36871,19034000,36868,10875000,36867,81372337,36895,2710412,36905,108386397,36906,270995,36909,10875000,36911,29000000,36913,10875000,36914,977421446,36917,32580000,36918,29000000,36924,10875000
1710498157012179,36888,230960,36878,72800000,36877,361976,36872,10875000,36871,10875000,36869,23096020,36868,39875000,36865,46515715,36862,10875000,36861,72167744,36891,2710688,36894,54209356,36905,988296446,36906,29270995,36909,10875000,36913,10875000,36917,32580000,36918,29000000,36924,10875000,36929,27099536
1710498157210802,36887,2710940,36886,54220803,36885,230960,36884,54173,36878,72800000,36877,361976,36871,10875000,36870,54243192,36869,23096020,36868,39875000,36892,2710672,36893,54211458,36901,54200320,36903,11146057,36904,1505542,36905,977421446,36906,29000000,36908,54189572,36909,10875000,36913,10875000
1710498157410657,36887,2710940,36886,54220803,36884,54173,36883,54225262,36878,127032061,36877,361976,36871,10875000,36870,54243192,36869,23096020,36868,39875000,36892,2710672,36893,54211458,36895,54208068,36901,54200320,36903,11146057,36905,977421446,36906,29000000,36908,54189572,36913,10875000,36917,113844680
